step,month,day,hour,kwh_total,kwh_cooling,kwh_heating,kwh_fans,kwh_lights,kw_demand,base_cool_sp,base_heat_sp,mean_temp,mean_pmv,pmv_in_band,occupied,policy_reason
66,7,1,16.75,8.74798005670937,4.945078029706542,0.0,0.5884011578380464,0.2910589900304618,34.99192022683748,26.7,15.6,27.343,0.739,0.2,1,"baseline: scheduled setpoints, no override"
67,7,1,17.0,12.16405416192734,8.002567447588977,0.0,0.9469858451735818,0.2910589900304618,48.65621664770936,26.7,15.6,26.696,0.6156,0.3333,1,"baseline: scheduled setpoints, no override"
68,7,1,17.25,5.422175829988791,2.5018847836796207,0.0,0.22116750620946626,0.3375279477154128,21.688703319955163,26.7,15.6,27.378,0.7146,0.2,1,"baseline: scheduled setpoints, no override"
69,7,1,17.5,7.832479859226333,4.685119790653406,0.0,0.5435051878385148,0.24224765174848037,31.32991943690533,26.7,15.6,27.266,0.6998,0.2667,1,"baseline: scheduled setpoints, no override"
70,7,1,17.75,10.670900366773141,7.23645965545381,0.0,0.830609682780573,0.24224765174848037,42.683601467092565,26.7,15.6,26.662,0.5768,0.3333,1,"baseline: scheduled setpoints, no override"
71,7,1,18.0,4.9761012722639455,2.1740847892207213,0.0,0.19818545450446914,0.24224765174848037,19.904405089055782,26.7,15.6,27.271,0.6588,0.2667,1,"baseline: scheduled setpoints, no override"
72,7,1,18.25,7.361973810378263,4.280119778974867,0.0,0.4780230028646403,0.24224765174848037,29.447895241513052,26.7,15.6,27.162,0.6366,0.2667,1,"baseline: scheduled setpoints, no override"
73,7,1,18.5,9.72831104456574,6.408264703474394,0.0,0.7146420148454402,0.2438209494556286,38.91324417826296,26.7,15.6,26.614,0.5193,0.4,1,"baseline: scheduled setpoints, no override"
74,7,1,18.75,4.660670911353109,1.8739840726744903,0.0,0.17754520075072397,0.2475578675230286,18.642683645412436,26.7,15.6,27.123,0.5834,0.3333,1,"baseline: scheduled setpoints, no override"
75,7,1,19.0,6.842860451035684,3.7939076354361614,0.0,0.43198015634263603,0.25538795390096625,27.371441804142737,26.7,15.6,27.053,0.5709,0.4,0,"baseline: scheduled setpoints, no override"
76,7,1,19.25,8.971501376833526,5.684778257348938,0.0,0.6385376630704924,0.286598791877144,35.886005507334104,26.7,15.6,26.551,0.4635,0.4667,0,"baseline: scheduled setpoints, no override"
77,7,1,19.5,5.266206206545892,1.6925025166612657,0.0,0.17754520075072397,0.26813901328740164,21.064824826183568,26.7,15.6,26.957,0.5014,0.3333,0,"baseline: scheduled setpoints, no override"
78,7,1,19.75,7.102214611246586,3.3141488129689503,0.0,0.3919119295584731,0.26813901328740164,28.408858444986343,26.7,15.6,26.915,0.4907,0.4667,0,"baseline: scheduled setpoints, no override"
79,7,1,20.0,10.736873456197822,6.762291067694756,0.0,0.5784285197839031,0.26813901328740164,42.94749382479129,26.7,15.6,26.471,0.3988,0.6667,0,"baseline: scheduled setpoints, no override"
80,7,1,20.25,5.173636453209533,1.5999373837396482,0.0,0.17754520075072397,0.26813901328740164,20.694545812838133,26.7,15.6,26.826,0.4442,0.5333,0,"baseline: scheduled setpoints, no override"
81,7,1,20.5,6.905391398710528,3.1332786363616676,0.0,0.375958893629699,0.26813901328740164,27.621565594842114,26.7,15.6,26.823,0.4422,0.6667,0,"baseline: scheduled setpoints, no override"
82,7,1,20.75,8.66002086096879,4.711741643707136,0.0,0.5521253485424916,0.26813901328740164,34.64008344387516,26.7,15.6,26.421,0.3606,0.8,0,"baseline: scheduled setpoints, no override"
83,7,1,21.0,5.119873625982913,1.5461745565130263,0.0,0.17754520075072397,0.26813901328740164,20.47949450393165,26.7,15.6,26.742,0.4025,0.7333,0,"baseline: scheduled setpoints, no override"
84,7,1,21.25,6.764628458048315,3.0018201388470866,0.0,0.3666544504820651,0.26813901328740164,27.05851383219326,26.7,15.6,26.755,0.4043,0.6667,0,"baseline: scheduled setpoints, no override"
85,7,1,21.5,9.78193699596894,5.844041192311012,0.0,0.5417419349387669,0.26813901328740164,39.12774798387576,26.7,15.6,26.373,0.3291,0.9333,0,"baseline: scheduled setpoints, no override"
86,7,1,21.75,5.983068730379954,2.409369660910068,0.0,0.17754520075072397,0.26813901328740164,23.932274921519817,26.7,15.6,26.655,0.3681,0.9333,0,"baseline: scheduled setpoints, no override"
87,7,1,22.0,7.689991186716171,3.929640583808967,0.0,0.3641967341880429,0.26813901328740164,30.759964746864686,26.7,15.6,26.688,0.3762,0.8,0,"baseline: scheduled setpoints, no override"
88,7,1,22.25,10.447961800883972,6.510065997226043,0.0,0.5417419349387669,0.26813901328740164,41.79184720353589,26.7,15.6,26.33,0.3091,0.9333,0,"baseline: scheduled setpoints, no override"
89,7,1,22.5,5.966654954088742,2.392955884618856,0.0,0.17754520075072397,0.26813901328740164,23.86661981635497,26.7,15.6,26.585,0.3447,0.9333,0,"baseline: scheduled setpoints, no override"
90,7,1,22.75,5.022514233570991,1.4202039345771276,0.0,0.20615643027470157,0.26813901328740164,20.090056934283965,26.7,15.6,26.9,0.4045,0.6,0,"baseline: scheduled setpoints, no override"
91,7,1,23.0,9.310736019516224,5.372840215858295,0.0,0.5417419349387669,0.26813901328740164,37.242944078064895,26.7,15.6,26.448,0.3242,0.9333,0,"baseline: scheduled setpoints, no override"
92,7,1,23.25,8.203771981995052,3.8675017472104187,0.0,0.33558550466406534,0.26813901328740164,32.81508792798021,26.7,15.6,26.352,0.2916,1.0,0,"baseline: scheduled setpoints, no override"
93,7,1,23.5,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,26.938,0.3922,0.8,0,"baseline: scheduled setpoints, no override"
94,7,1,23.75,7.272973933919534,2.888587572773541,0.0,0.38370163102542554,0.26813901328740164,29.091895735678136,26.7,15.6,26.854,0.387,0.7333,0,"baseline: scheduled setpoints, no override"
95,7,1,24.0,10.843834352219577,6.301407687160242,0.0,0.5417419349387669,0.26813901328740164,43.37533740887831,26.7,15.6,26.309,0.2875,1.0,0,"baseline: scheduled setpoints, no override"
96,7,2,0.25,6.546021323402199,2.38729628936829,0.0,0.15804030391334134,0.26813901328740164,26.184085293608796,26.7,15.6,26.48,0.3077,1.0,0,"baseline: scheduled setpoints, no override"
97,7,2,0.5,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,27.077,0.4208,0.6667,0,"baseline: scheduled setpoints, no override"
98,7,2,0.75,7.260089480794927,2.875703119648934,0.0,0.38370163102542554,0.26813901328740164,29.04035792317971,26.7,15.6,26.851,0.39,0.7333,0,"baseline: scheduled setpoints, no override"
99,7,2,1.0,9.816711265053875,5.27428459999454,0.0,0.5417419349387669,0.26813901328740164,39.2668450602155,26.7,15.6,26.245,0.2716,1.0,0,"baseline: scheduled setpoints, no override"
100,7,2,1.25,6.543633520388726,2.3849084863548167,0.0,0.15804030391334134,0.26813901328740164,26.174534081554903,26.7,15.6,26.41,0.284,1.0,0,"baseline: scheduled setpoints, no override"
101,7,2,1.5,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,27.008,0.3939,0.8,0,"baseline: scheduled setpoints, no override"
102,7,2,1.75,8.160360901311146,3.77597454016515,0.0,0.38370163102542554,0.26813901328740164,32.64144360524458,26.7,15.6,26.812,0.3707,0.8667,0,"baseline: scheduled setpoints, no override"
103,7,2,2.0,11.641431547071273,7.099004882011938,0.0,0.5417419349387669,0.26813901328740164,46.56572618828509,26.7,15.6,26.204,0.2583,1.0,0,"baseline: scheduled setpoints, no override"
104,7,2,2.25,6.526525114596168,2.3678000805622585,0.0,0.15804030391334134,0.26813901328740164,26.10610045838467,26.7,15.6,26.346,0.2705,1.0,0,"baseline: scheduled setpoints, no override"
105,7,2,2.5,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,26.93,0.3783,0.8667,0,"baseline: scheduled setpoints, no override"
106,7,2,2.75,8.086829965713315,3.7024436045673217,0.0,0.38370163102542554,0.26813901328740164,32.34731986285326,26.7,15.6,26.757,0.3578,0.8667,0,"baseline: scheduled setpoints, no override"
107,7,2,3.0,11.62187645406185,7.079449789002515,0.0,0.5417419349387669,0.26813901328740164,46.4875058162474,26.7,15.6,26.157,0.2466,1.0,0,"baseline: scheduled setpoints, no override"
108,7,2,3.25,6.527403612602663,2.368678578568754,0.0,0.15804030391334134,0.26813901328740164,26.109614450410653,26.7,15.6,26.291,0.257,1.0,0,"baseline: scheduled setpoints, no override"
109,7,2,3.5,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,26.87,0.364,0.9333,0,"baseline: scheduled setpoints, no override"
