step,month,day,hour,kwh_total,kwh_cooling,kwh_heating,kwh_fans,kwh_lights,kw_demand,base_cool_sp,base_heat_sp,mean_temp,mean_pmv,pmv_in_band,occupied,policy_reason
28,7,1,7.25,8.725356423927519,4.96911361982397,0.0,0.5417419349387669,0.2910589900304618,34.901425695710074,26.7,15.6,26.492,0.4576,0.6,1,initial policy: unoccupied setback + precool before evening peak
29,7,1,7.5,5.043014716021594,1.6223574165821129,0.0,0.20615643027470157,0.2910589900304618,20.172058864086377,26.7,15.6,27.017,0.5515,0.4,1,initial policy: unoccupied setback + precool before evening peak
30,7,1,7.75,7.6987879155967365,4.057415327666441,0.0,0.42687171876551594,0.2910589900304618,30.795151662386946,26.7,15.6,26.838,0.5403,0.3333,1,initial policy: unoccupied setback + precool before evening peak
31,7,1,8.0,9.023681313171437,5.259263645558588,0.0,0.5499167984480696,0.2910589900304618,36.09472525268575,26.7,15.6,26.556,0.4859,0.4667,1,initial policy: unoccupied setback + precool before evening peak
32,7,1,8.25,5.1170995028388555,1.696442203399374,0.0,0.20615643027470157,0.2910589900304618,20.468398011355422,26.7,15.6,27.188,0.6029,0.4,1,initial policy: unoccupied setback + precool before evening peak
33,7,1,8.5,8.178196131558467,4.46838521064386,0.0,0.4953100517498251,0.2910589900304618,32.71278452623387,26.7,15.6,26.931,0.5856,0.3333,1,initial policy: unoccupied setback + precool before evening peak
34,7,1,8.75,9.175740368493788,5.400468795483741,0.0,0.5607707038452662,0.2910589900304618,36.70296147397515,26.7,15.6,26.614,0.5202,0.4,1,initial policy: unoccupied setback + precool before evening peak
35,7,1,9.0,5.135143890523952,1.7144865910844695,0.0,0.20615643027470157,0.2910589900304618,20.540575562095807,26.7,15.6,27.314,0.645,0.4,1,initial policy: unoccupied setback + precool before evening peak
36,7,1,9.25,8.538234058282866,4.773731506465216,0.0,0.5500016826528683,0.2910589900304618,34.15293623313146,26.7,15.6,26.996,0.6141,0.3333,1,initial policy: unoccupied setback + precool before evening peak
37,7,1,9.5,9.309474372988435,5.525480526322443,0.0,0.5694929775012119,0.2910589900304618,37.23789749195374,26.7,15.6,26.649,0.5405,0.4,1,initial policy: unoccupied setback + precool before evening peak
38,7,1,9.75,5.165102630394944,1.7444453309554626,0.0,0.20615643027470157,0.2910589900304618,20.660410521579777,26.7,15.6,27.404,0.6748,0.4,1,initial policy: unoccupied setback + precool before evening peak
39,7,1,10.0,9.087665626433564,5.2538004182100115,0.0,0.619364339058773,0.2910589900304618,36.350662505734256,26.7,15.6,27.046,0.638,0.3333,1,initial policy: unoccupied setback + precool before evening peak
40,7,1,10.25,9.583057236955362,5.784440824161221,0.0,0.5841155436293597,0.2910589900304618,38.33222894782145,26.7,15.6,26.66,0.5544,0.4,1,initial policy: unoccupied setback + precool before evening peak
41,7,1,10.5,5.189239330172292,1.7685820307328097,0.0,0.20615643027470157,0.2910589900304618,20.756957320689168,26.7,15.6,27.45,0.6911,0.4,1,initial policy: unoccupied setback + precool before evening peak
42,7,1,10.75,9.446462058975866,5.563034677639212,0.0,0.6689265121718748,0.2910589900304618,37.785848235903465,26.7,15.6,27.067,0.646,0.3333,1,initial policy: unoccupied setback + precool before evening peak
43,7,1,11.0,9.662232443863799,5.8591404578148305,0.0,0.5885911168841867,0.2910589900304618,38.648929775455194,26.7,15.6,26.665,0.555,0.3333,1,initial policy: unoccupied setback + precool before evening peak
44,7,1,11.25,5.177423974784089,1.756766675344607,0.0,0.20615643027470157,0.2910589900304618,20.709695899136356,26.7,15.6,27.457,0.688,0.3333,1,initial policy: unoccupied setback + precool before evening peak
45,7,1,11.5,9.702540624246328,5.783267474777663,0.0,0.7047722803038841,0.2910589900304618,38.81016249698531,26.7,15.6,27.067,0.6402,0.2,1,initial policy: unoccupied setback + precool before evening peak
46,7,1,11.75,9.711618402059273,5.9102463604927875,0.0,0.586871172401703,0.2910589900304618,38.84647360823709,26.7,15.6,26.662,0.5477,0.3333,1,initial policy: unoccupied setback + precool before evening peak
47,7,1,12.0,5.161925956727922,1.7412686572884402,0.0,0.20615643027470157,0.2910589900304618,20.647703826911687,26.7,15.6,27.442,0.6787,0.3333,1,initial policy: unoccupied setback + precool before evening peak
